2026-05-01 21:06:43,155 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-01 21:06:43,155 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-01 21:06:43,676 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-01 21:06:43,676 | BUTTON | INFO | Checking button Logout is enabled
2026-05-01 21:06:43,682 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-01 21:06:43,682 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-01 21:06:44,254 | BASE_PAGE | INFO | Opening url /#/login
2026-05-01 21:06:44,758 | BASE_PAGE | INFO | Closing welcome banner
2026-05-01 21:06:45,763 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:06:45,763 | INPUT | INFO | Fill input Email with griffindavid@example.net
2026-05-01 21:06:46,275 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:06:46,275 | INPUT | INFO | Checking that input Email has value griffindavid@example.net
2026-05-01 21:06:46,278 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:06:46,278 | INPUT | INFO | Fill input Password with Qw_3V6mifo
2026-05-01 21:06:46,790 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:06:46,790 | INPUT | INFO | Checking that input Password has value Qw_3V6mifo
2026-05-01 21:06:46,794 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-01 21:06:46,794 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-01 21:06:47,350 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-01 21:06:47,350 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-01 21:06:47,909 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:06:47,909 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-01 21:06:48,427 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:06:48,427 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-01 21:06:48,431 | INPUT | INFO | Press Enter
2026-05-01 21:06:48,431 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:06:48,960 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-01 21:06:48,961 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-01 21:06:49,505 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:06:49,506 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-01 21:06:49,509 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:06:49,509 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-01 21:06:50,042 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-01 21:06:50,546 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-01 21:06:50,546 | TEXT | INFO | Getting text Total Price
2026-05-01 21:06:50,550 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-01 21:06:50,551 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-01 21:06:50,577 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-01 21:06:50,578 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
