2026-05-02 14:05:38,963 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-02 14:05:38,963 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-02 14:05:39,497 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-02 14:05:39,497 | BUTTON | INFO | Checking button Logout is enabled
2026-05-02 14:05:39,519 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-02 14:05:39,519 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-02 14:05:40,131 | BASE_PAGE | INFO | Opening url /#/login
2026-05-02 14:05:40,635 | BASE_PAGE | INFO | Closing welcome banner
2026-05-02 14:05:41,638 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:05:41,638 | INPUT | INFO | Fill input Email with kdelgado@example.org
2026-05-02 14:05:42,149 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:05:42,149 | INPUT | INFO | Checking that input Email has value kdelgado@example.org
2026-05-02 14:05:42,154 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:05:42,154 | INPUT | INFO | Fill input Password with @j#T6xLvC$
2026-05-02 14:05:42,677 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:05:42,677 | INPUT | INFO | Checking that input Password has value @j#T6xLvC$
2026-05-02 14:05:42,684 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-02 14:05:42,685 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-02 14:05:43,240 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-02 14:05:43,240 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-02 14:05:43,794 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:05:43,794 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-02 14:05:44,312 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:05:44,312 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-02 14:05:44,316 | INPUT | INFO | Press Enter
2026-05-02 14:05:44,317 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:05:44,857 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-02 14:05:44,857 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-02 14:05:45,393 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:05:45,393 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-02 14:05:45,397 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:05:45,397 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-02 14:05:45,950 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-02 14:05:46,453 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-02 14:05:46,453 | TEXT | INFO | Getting text Total Price
2026-05-02 14:05:46,457 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-02 14:05:46,458 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-02 14:05:46,482 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-02 14:05:46,483 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
