2026-05-02 14:12:20,050 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-02 14:12:20,073 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-02 14:12:20,077 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-02 14:12:20,077 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-02 14:12:20,609 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:12:20,609 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-02 14:12:21,121 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:12:21,121 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-02 14:12:21,126 | INPUT | INFO | Press Enter
2026-05-02 14:12:21,127 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:12:21,674 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-02 14:12:21,674 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-02 14:12:22,203 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:12:22,204 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-02 14:12:22,207 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:12:22,208 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-02 14:12:22,740 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-02 14:12:23,245 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-02 14:12:23,245 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-02 14:12:23,249 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-02 14:12:23,249 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-02 14:12:23,788 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-02 14:12:23,788 | BUTTON | INFO | Checking button Select address is enabled
2026-05-02 14:12:23,792 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-02 14:12:23,792 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-02 14:12:24,319 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-02 14:12:24,320 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-02 14:12:24,323 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-02 14:12:24,323 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-02 14:12:24,866 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-02 14:12:24,866 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-02 14:12:25,388 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-02 14:12:25,388 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-02 14:12:25,395 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-02 14:12:25,395 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-02 14:12:26,076 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-02 14:12:26,076 | BUTTON | INFO | Checking button Select card is enabled
2026-05-02 14:12:26,080 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-02 14:12:26,080 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-02 14:12:26,606 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-02 14:12:26,607 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-02 14:12:26,611 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-02 14:12:26,611 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-02 14:12:27,159 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-02 14:12:27,159 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-02 14:12:27,165 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-02 14:12:27,185 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-02 14:12:27,185 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-02 14:12:27,940 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-02 14:12:27,946 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
