2026-05-03 16:03:47,116 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-03 16:03:47,116 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-03 16:03:47,650 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 16:03:47,651 | BUTTON | INFO | Checking button Logout is enabled
2026-05-03 16:03:47,661 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 16:03:47,661 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-03 16:03:48,222 | BASE_PAGE | INFO | Opening url /#/login
2026-05-03 16:03:48,726 | BASE_PAGE | INFO | Closing welcome banner
2026-05-03 16:03:49,731 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:03:49,731 | INPUT | INFO | Fill input Email with pwest@example.org
2026-05-03 16:03:50,244 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:03:50,244 | INPUT | INFO | Checking that input Email has value pwest@example.org
2026-05-03 16:03:50,248 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:03:50,248 | INPUT | INFO | Fill input Password with ^TxO6sYn@7
2026-05-03 16:03:50,759 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:03:50,759 | INPUT | INFO | Checking that input Password has value ^TxO6sYn@7
2026-05-03 16:03:50,763 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-03 16:03:50,763 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-03 16:03:51,299 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-03 16:03:51,299 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-03 16:03:51,865 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:03:51,865 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-03 16:03:52,386 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:03:52,387 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-03 16:03:52,391 | INPUT | INFO | Press Enter
2026-05-03 16:03:52,391 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:03:52,923 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-03 16:03:52,924 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-03 16:03:53,447 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 16:03:53,447 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-03 16:03:53,451 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 16:03:53,451 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-03 16:03:53,985 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-03 16:03:54,491 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-03 16:03:54,491 | TEXT | INFO | Getting text Total Price
2026-05-03 16:03:54,495 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-03 16:03:54,497 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 16:03:54,521 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 16:03:54,522 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
