2026-01-27 21:47:26,836 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-01-27 21:47:26,854 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-01-27 21:47:26,858 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-01-27 21:47:26,858 | BASE_ELEMENT | INFO | Clicking button Open search
2026-01-27 21:47:27,381 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-27 21:47:27,381 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-01-27 21:47:27,897 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-27 21:47:27,897 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-01-27 21:47:27,902 | INPUT | INFO | Press Enter
2026-01-27 21:47:27,902 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-27 21:47:28,449 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-01-27 21:47:28,449 | BASE_ELEMENT | INFO | Clicking button Close search
2026-01-27 21:47:28,980 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-27 21:47:28,980 | BUTTON | INFO | Checking button Add product Button is enabled
2026-01-27 21:47:28,984 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-27 21:47:28,984 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-01-27 21:47:29,520 | BASE_PAGE | INFO | Opening url /#/basket
2026-01-27 21:47:30,023 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-01-27 21:47:30,023 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-01-27 21:47:30,026 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-01-27 21:47:30,027 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-01-27 21:47:30,554 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-01-27 21:47:30,554 | BUTTON | INFO | Checking button Select address is enabled
2026-01-27 21:47:30,557 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-01-27 21:47:30,557 | BASE_ELEMENT | INFO | Clicking button Select address
2026-01-27 21:47:31,080 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-01-27 21:47:31,080 | BUTTON | INFO | Checking button Continue Button is enabled
2026-01-27 21:47:31,084 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-01-27 21:47:31,084 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-01-27 21:47:31,631 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-01-27 21:47:31,631 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-01-27 21:47:32,165 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-01-27 21:47:32,165 | BUTTON | INFO | Checking button Continue Button is enabled
2026-01-27 21:47:32,169 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-01-27 21:47:32,169 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-01-27 21:47:32,751 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-01-27 21:47:32,751 | BUTTON | INFO | Checking button Select card is enabled
2026-01-27 21:47:32,755 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-01-27 21:47:32,755 | BASE_ELEMENT | INFO | Clicking button Select card
2026-01-27 21:47:33,280 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-01-27 21:47:33,280 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-01-27 21:47:33,284 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-01-27 21:47:33,284 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-01-27 21:47:33,844 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-01-27 21:47:33,845 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-01-27 21:47:33,851 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-01-27 21:47:33,870 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-01-27 21:47:33,871 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-01-27 21:47:34,643 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-01-27 21:47:34,650 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
