2026-05-01 21:38:40,233 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-01 21:38:40,233 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-01 21:38:40,766 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-01 21:38:40,766 | BUTTON | INFO | Checking button Logout is enabled
2026-05-01 21:38:40,782 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-01 21:38:40,782 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-01 21:38:41,345 | BASE_PAGE | INFO | Opening url /#/login
2026-05-01 21:38:41,848 | BASE_PAGE | INFO | Closing welcome banner
2026-05-01 21:38:42,852 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:38:42,852 | INPUT | INFO | Fill input Email with jamieflowers@example.com
2026-05-01 21:38:43,361 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:38:43,361 | INPUT | INFO | Checking that input Email has value jamieflowers@example.com
2026-05-01 21:38:43,365 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:38:43,365 | INPUT | INFO | Fill input Password with bC1N(O2sp+
2026-05-01 21:38:43,878 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:38:43,878 | INPUT | INFO | Checking that input Password has value bC1N(O2sp+
2026-05-01 21:38:43,881 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-01 21:38:43,881 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-01 21:38:44,427 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-01 21:38:44,428 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-01 21:38:44,994 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:38:44,994 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-01 21:38:45,513 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:38:45,513 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-01 21:38:45,518 | INPUT | INFO | Press Enter
2026-05-01 21:38:45,518 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:38:46,057 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-01 21:38:46,057 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-01 21:38:46,579 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:38:46,579 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-01 21:38:46,582 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:38:46,582 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-01 21:38:47,119 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-01 21:38:47,624 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-01 21:38:47,624 | TEXT | INFO | Getting text Total Price
2026-05-01 21:38:47,628 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-01 21:38:47,629 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-01 21:38:47,649 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-01 21:38:47,649 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
