2026-05-01 21:38:53,476 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-01 21:38:53,497 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-01 21:38:53,500 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-01 21:38:53,501 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-01 21:38:54,031 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:38:54,031 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-01 21:38:54,543 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:38:54,544 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-01 21:38:54,547 | INPUT | INFO | Press Enter
2026-05-01 21:38:54,547 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:38:55,065 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-01 21:38:55,065 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-01 21:38:55,599 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:38:55,599 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-01 21:38:55,603 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:38:55,603 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-01 21:38:56,132 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-01 21:38:56,636 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-01 21:38:56,637 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-01 21:38:56,640 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-01 21:38:56,640 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-01 21:38:57,169 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-01 21:38:57,170 | BUTTON | INFO | Checking button Select address is enabled
2026-05-01 21:38:57,173 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-01 21:38:57,173 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-01 21:38:57,696 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-01 21:38:57,696 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-01 21:38:57,699 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-01 21:38:57,699 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-01 21:38:58,261 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-01 21:38:58,262 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-01 21:38:58,778 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-01 21:38:58,778 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-01 21:38:58,782 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-01 21:38:58,782 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-01 21:38:59,413 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-01 21:38:59,413 | BUTTON | INFO | Checking button Select card is enabled
2026-05-01 21:38:59,417 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-01 21:38:59,417 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-01 21:38:59,947 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-01 21:38:59,948 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-01 21:38:59,951 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-01 21:38:59,951 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-01 21:39:00,507 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-01 21:39:00,507 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-01 21:39:00,513 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-01 21:39:00,532 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-01 21:39:00,532 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-01 21:39:01,310 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-01 21:39:01,315 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
