2026-01-26 18:00:48,638 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-01-26 18:00:48,663 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-01-26 18:00:48,669 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-01-26 18:00:48,669 | BASE_ELEMENT | INFO | Clicking button Open search
2026-01-26 18:00:49,200 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-26 18:00:49,200 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-01-26 18:00:49,718 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-26 18:00:49,718 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-01-26 18:00:49,723 | INPUT | INFO | Press Enter
2026-01-26 18:00:49,723 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-26 18:00:50,263 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-01-26 18:00:50,264 | BASE_ELEMENT | INFO | Clicking button Close search
2026-01-26 18:00:50,794 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-26 18:00:50,795 | BUTTON | INFO | Checking button Add product Button is enabled
2026-01-26 18:00:50,799 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-26 18:00:50,799 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-01-26 18:00:51,336 | BASE_PAGE | INFO | Opening url /#/basket
2026-01-26 18:00:51,839 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-01-26 18:00:51,839 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-01-26 18:00:51,843 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-01-26 18:00:51,843 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-01-26 18:00:52,369 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-01-26 18:00:52,370 | BUTTON | INFO | Checking button Select address is enabled
2026-01-26 18:00:52,374 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-01-26 18:00:52,374 | BASE_ELEMENT | INFO | Clicking button Select address
2026-01-26 18:00:52,895 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-01-26 18:00:52,895 | BUTTON | INFO | Checking button Continue Button is enabled
2026-01-26 18:00:52,899 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-01-26 18:00:52,899 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-01-26 18:00:53,447 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-01-26 18:00:53,447 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-01-26 18:00:53,980 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-01-26 18:00:53,980 | BUTTON | INFO | Checking button Continue Button is enabled
2026-01-26 18:00:53,985 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-01-26 18:00:53,985 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-01-26 18:00:54,608 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-01-26 18:00:54,608 | BUTTON | INFO | Checking button Select card is enabled
2026-01-26 18:00:54,613 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-01-26 18:00:54,613 | BASE_ELEMENT | INFO | Clicking button Select card
2026-01-26 18:00:55,129 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-01-26 18:00:55,129 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-01-26 18:00:55,133 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-01-26 18:00:55,133 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-01-26 18:00:55,699 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-01-26 18:00:55,699 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-01-26 18:00:55,705 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-01-26 18:00:55,727 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-01-26 18:00:55,728 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-01-26 18:00:56,500 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-01-26 18:00:56,507 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
