2026-05-03 16:18:30,825 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-03 16:18:30,825 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-03 16:18:31,352 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 16:18:31,352 | BUTTON | INFO | Checking button Logout is enabled
2026-05-03 16:18:31,372 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 16:18:31,372 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-03 16:18:31,948 | BASE_PAGE | INFO | Opening url /#/login
2026-05-03 16:18:32,452 | BASE_PAGE | INFO | Closing welcome banner
2026-05-03 16:18:33,455 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:18:33,455 | INPUT | INFO | Fill input Email with colonstephen@example.net
2026-05-03 16:18:33,969 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:18:33,969 | INPUT | INFO | Checking that input Email has value colonstephen@example.net
2026-05-03 16:18:33,973 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:18:33,973 | INPUT | INFO | Fill input Password with V$6lFM&mKr
2026-05-03 16:18:34,487 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:18:34,487 | INPUT | INFO | Checking that input Password has value V$6lFM&mKr
2026-05-03 16:18:34,491 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-03 16:18:34,491 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-03 16:18:35,053 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-03 16:18:35,053 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-03 16:18:35,620 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:18:35,620 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-03 16:18:36,139 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:18:36,139 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-03 16:18:36,143 | INPUT | INFO | Press Enter
2026-05-03 16:18:36,143 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:18:36,674 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-03 16:18:36,674 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-03 16:18:37,214 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 16:18:37,215 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-03 16:18:37,219 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 16:18:37,219 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-03 16:18:37,768 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-03 16:18:38,271 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-03 16:18:38,271 | TEXT | INFO | Getting text Total Price
2026-05-03 16:18:38,275 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-03 16:18:38,276 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 16:18:38,299 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 16:18:38,299 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
