2026-05-02 14:05:52,346 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-02 14:05:52,369 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-02 14:05:52,373 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-02 14:05:52,373 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-02 14:05:52,897 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:05:52,897 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-02 14:05:53,414 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:05:53,414 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-02 14:05:53,419 | INPUT | INFO | Press Enter
2026-05-02 14:05:53,419 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:05:53,963 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-02 14:05:53,963 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-02 14:05:54,493 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:05:54,493 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-02 14:05:54,497 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:05:54,498 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-02 14:05:55,030 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-02 14:05:55,534 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-02 14:05:55,534 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-02 14:05:55,538 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-02 14:05:55,538 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-02 14:05:56,083 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-02 14:05:56,083 | BUTTON | INFO | Checking button Select address is enabled
2026-05-02 14:05:56,087 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-02 14:05:56,087 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-02 14:05:56,609 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-02 14:05:56,609 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-02 14:05:56,612 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-02 14:05:56,613 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-02 14:05:57,172 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-02 14:05:57,172 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-02 14:05:57,692 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-02 14:05:57,692 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-02 14:05:57,696 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-02 14:05:57,696 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-02 14:05:58,349 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-02 14:05:58,349 | BUTTON | INFO | Checking button Select card is enabled
2026-05-02 14:05:58,353 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-02 14:05:58,353 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-02 14:05:58,878 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-02 14:05:58,878 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-02 14:05:58,882 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-02 14:05:58,882 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-02 14:05:59,471 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-02 14:05:59,471 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-02 14:05:59,478 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-02 14:05:59,499 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-02 14:05:59,500 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-02 14:06:00,280 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-02 14:06:00,305 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
