2026-05-03 15:50:50,666 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-03 15:50:50,666 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-03 15:50:51,195 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 15:50:51,195 | BUTTON | INFO | Checking button Logout is enabled
2026-05-03 15:50:51,203 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 15:50:51,203 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-03 15:50:51,804 | BASE_PAGE | INFO | Opening url /#/login
2026-05-03 15:50:52,309 | BASE_PAGE | INFO | Closing welcome banner
2026-05-03 15:50:53,313 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 15:50:53,314 | INPUT | INFO | Fill input Email with riverascott@example.net
2026-05-03 15:50:53,826 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 15:50:53,826 | INPUT | INFO | Checking that input Email has value riverascott@example.net
2026-05-03 15:50:53,830 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 15:50:53,830 | INPUT | INFO | Fill input Password with U(1dZrzXPk
2026-05-03 15:50:54,340 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 15:50:54,340 | INPUT | INFO | Checking that input Password has value U(1dZrzXPk
2026-05-03 15:50:54,344 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-03 15:50:54,344 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-03 15:50:54,898 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-03 15:50:54,898 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-03 15:50:55,460 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:50:55,461 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-03 15:50:55,976 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:50:55,977 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-03 15:50:55,981 | INPUT | INFO | Press Enter
2026-05-03 15:50:55,981 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:50:56,513 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-03 15:50:56,513 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-03 15:50:57,058 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:50:57,058 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-03 15:50:57,062 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:50:57,062 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-03 15:50:57,594 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-03 15:50:58,100 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-03 15:50:58,100 | TEXT | INFO | Getting text Total Price
2026-05-03 15:50:58,104 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-03 15:50:58,105 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 15:50:58,126 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 15:50:58,126 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
