2026-05-02 14:12:06,764 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-02 14:12:06,764 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-02 14:12:07,293 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-02 14:12:07,293 | BUTTON | INFO | Checking button Logout is enabled
2026-05-02 14:12:07,306 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-02 14:12:07,306 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-02 14:12:07,892 | BASE_PAGE | INFO | Opening url /#/login
2026-05-02 14:12:08,395 | BASE_PAGE | INFO | Closing welcome banner
2026-05-02 14:12:09,399 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:12:09,399 | INPUT | INFO | Fill input Email with mckinneychristopher@example.org
2026-05-02 14:12:09,913 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:12:09,913 | INPUT | INFO | Checking that input Email has value mckinneychristopher@example.org
2026-05-02 14:12:09,918 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:12:09,918 | INPUT | INFO | Fill input Password with g^i2GUBxOJ
2026-05-02 14:12:10,438 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:12:10,438 | INPUT | INFO | Checking that input Password has value g^i2GUBxOJ
2026-05-02 14:12:10,442 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-02 14:12:10,442 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-02 14:12:10,985 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-02 14:12:10,985 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-02 14:12:11,534 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:12:11,534 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-02 14:12:12,052 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:12:12,052 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-02 14:12:12,058 | INPUT | INFO | Press Enter
2026-05-02 14:12:12,059 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:12:12,604 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-02 14:12:12,604 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-02 14:12:13,139 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:12:13,139 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-02 14:12:13,143 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:12:13,143 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-02 14:12:13,674 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-02 14:12:14,185 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-02 14:12:14,185 | TEXT | INFO | Getting text Total Price
2026-05-02 14:12:14,189 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-02 14:12:14,191 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-02 14:12:14,217 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-02 14:12:14,217 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
