2026-05-01 21:42:21,508 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-01 21:42:21,508 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-01 21:42:22,038 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-01 21:42:22,038 | BUTTON | INFO | Checking button Logout is enabled
2026-05-01 21:42:22,049 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-01 21:42:22,049 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-01 21:42:22,643 | BASE_PAGE | INFO | Opening url /#/login
2026-05-01 21:42:23,147 | BASE_PAGE | INFO | Closing welcome banner
2026-05-01 21:42:24,151 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:42:24,151 | INPUT | INFO | Fill input Email with zbutler@example.org
2026-05-01 21:42:24,665 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:42:24,665 | INPUT | INFO | Checking that input Email has value zbutler@example.org
2026-05-01 21:42:24,671 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:42:24,671 | INPUT | INFO | Fill input Password with 4z5$KRRv&T
2026-05-01 21:42:25,194 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:42:25,194 | INPUT | INFO | Checking that input Password has value 4z5$KRRv&T
2026-05-01 21:42:25,198 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-01 21:42:25,198 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-01 21:42:25,740 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-01 21:42:25,740 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-01 21:42:26,298 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:42:26,298 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-01 21:42:26,814 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:42:26,814 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-01 21:42:26,819 | INPUT | INFO | Press Enter
2026-05-01 21:42:26,819 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:42:27,359 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-01 21:42:27,359 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-01 21:42:27,885 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:42:27,885 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-01 21:42:27,888 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:42:27,888 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-01 21:42:28,423 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-01 21:42:28,926 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-01 21:42:28,926 | TEXT | INFO | Getting text Total Price
2026-05-01 21:42:28,930 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-01 21:42:28,931 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-01 21:42:28,955 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-01 21:42:28,955 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
