2026-01-28 16:40:44,829 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-01-28 16:40:44,852 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-01-28 16:40:44,857 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-01-28 16:40:44,857 | BASE_ELEMENT | INFO | Clicking button Open search
2026-01-28 16:40:45,390 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-28 16:40:45,390 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-01-28 16:40:45,907 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-28 16:40:45,907 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-01-28 16:40:45,911 | INPUT | INFO | Press Enter
2026-01-28 16:40:45,911 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-28 16:40:46,436 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-01-28 16:40:46,437 | BASE_ELEMENT | INFO | Clicking button Close search
2026-01-28 16:40:46,988 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-28 16:40:46,988 | BUTTON | INFO | Checking button Add product Button is enabled
2026-01-28 16:40:46,992 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-28 16:40:46,992 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-01-28 16:40:47,528 | BASE_PAGE | INFO | Opening url /#/basket
2026-01-28 16:40:48,031 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-01-28 16:40:48,032 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-01-28 16:40:48,035 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-01-28 16:40:48,035 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-01-28 16:40:48,561 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-01-28 16:40:48,561 | BUTTON | INFO | Checking button Select address is enabled
2026-01-28 16:40:48,565 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-01-28 16:40:48,565 | BASE_ELEMENT | INFO | Clicking button Select address
2026-01-28 16:40:49,090 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-01-28 16:40:49,090 | BUTTON | INFO | Checking button Continue Button is enabled
2026-01-28 16:40:49,094 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-01-28 16:40:49,094 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-01-28 16:40:49,635 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-01-28 16:40:49,635 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-01-28 16:40:50,155 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-01-28 16:40:50,155 | BUTTON | INFO | Checking button Continue Button is enabled
2026-01-28 16:40:50,159 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-01-28 16:40:50,159 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-01-28 16:40:50,777 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-01-28 16:40:50,777 | BUTTON | INFO | Checking button Select card is enabled
2026-01-28 16:40:50,788 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-01-28 16:40:50,788 | BASE_ELEMENT | INFO | Clicking button Select card
2026-01-28 16:40:51,323 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-01-28 16:40:51,323 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-01-28 16:40:51,327 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-01-28 16:40:51,327 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-01-28 16:40:51,885 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-01-28 16:40:51,885 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-01-28 16:40:51,891 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-01-28 16:40:51,910 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-01-28 16:40:51,910 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-01-28 16:40:52,657 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-01-28 16:40:52,663 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
