2026-05-03 15:54:17,069 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-03 15:54:17,069 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-03 15:54:17,602 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 15:54:17,603 | BUTTON | INFO | Checking button Logout is enabled
2026-05-03 15:54:17,610 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 15:54:17,610 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-03 15:54:18,166 | BASE_PAGE | INFO | Opening url /#/login
2026-05-03 15:54:18,670 | BASE_PAGE | INFO | Closing welcome banner
2026-05-03 15:54:19,675 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 15:54:19,675 | INPUT | INFO | Fill input Email with harrisstephen@example.com
2026-05-03 15:54:20,188 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 15:54:20,188 | INPUT | INFO | Checking that input Email has value harrisstephen@example.com
2026-05-03 15:54:20,192 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 15:54:20,192 | INPUT | INFO | Fill input Password with w46vnYmU)v
2026-05-03 15:54:20,730 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 15:54:20,730 | INPUT | INFO | Checking that input Password has value w46vnYmU)v
2026-05-03 15:54:20,734 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-03 15:54:20,734 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-03 15:54:21,280 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-03 15:54:21,280 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-03 15:54:21,822 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:54:21,822 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-03 15:54:22,341 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:54:22,341 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-03 15:54:22,345 | INPUT | INFO | Press Enter
2026-05-03 15:54:22,345 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:54:22,897 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-03 15:54:22,898 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-03 15:54:23,433 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:54:23,433 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-03 15:54:23,437 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:54:23,437 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-03 15:54:23,968 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-03 15:54:24,473 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-03 15:54:24,474 | TEXT | INFO | Getting text Total Price
2026-05-03 15:54:24,477 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-03 15:54:24,479 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 15:54:24,499 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 15:54:24,500 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
