2026-05-03 16:09:36,094 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-03 16:09:36,112 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-03 16:09:36,116 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-03 16:09:36,116 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-03 16:09:36,641 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:09:36,641 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-03 16:09:37,157 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:09:37,157 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-03 16:09:37,161 | INPUT | INFO | Press Enter
2026-05-03 16:09:37,161 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:09:37,684 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-03 16:09:37,684 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-03 16:09:38,237 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 16:09:38,237 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-03 16:09:38,241 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 16:09:38,241 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-03 16:09:38,773 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-03 16:09:39,276 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-03 16:09:39,276 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-03 16:09:39,280 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-03 16:09:39,280 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-03 16:09:39,821 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-03 16:09:39,821 | BUTTON | INFO | Checking button Select address is enabled
2026-05-03 16:09:39,825 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-03 16:09:39,825 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-03 16:09:40,353 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-03 16:09:40,353 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-03 16:09:40,356 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-03 16:09:40,357 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-03 16:09:40,926 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-03 16:09:40,926 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-03 16:09:41,454 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-03 16:09:41,454 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-03 16:09:41,458 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-03 16:09:41,459 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-03 16:09:42,054 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-03 16:09:42,054 | BUTTON | INFO | Checking button Select card is enabled
2026-05-03 16:09:42,058 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-03 16:09:42,058 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-03 16:09:42,591 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-03 16:09:42,592 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-03 16:09:42,595 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-03 16:09:42,595 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-03 16:09:43,156 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-03 16:09:43,156 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-03 16:09:43,162 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-03 16:09:43,178 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-03 16:09:43,179 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-03 16:09:43,971 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-03 16:09:43,976 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
