2026-05-23 19:18:04,435 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-23 19:18:04,435 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-23 19:18:04,955 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-23 19:18:04,955 | BUTTON | INFO | Checking button Logout is enabled
2026-05-23 19:18:04,958 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-23 19:18:04,958 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-23 19:18:05,502 | BASE_PAGE | INFO | Opening url /#/login
2026-05-23 19:18:06,005 | BASE_PAGE | INFO | Closing welcome banner
2026-05-23 19:18:07,010 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-23 19:18:07,010 | INPUT | INFO | Fill input Email with franklindennis@example.org
2026-05-23 19:18:07,520 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-23 19:18:07,520 | INPUT | INFO | Checking that input Email has value franklindennis@example.org
2026-05-23 19:18:07,524 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-23 19:18:07,524 | INPUT | INFO | Fill input Password with (IY7Eulg1c
2026-05-23 19:18:08,034 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-23 19:18:08,034 | INPUT | INFO | Checking that input Password has value (IY7Eulg1c
2026-05-23 19:18:08,038 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-23 19:18:08,038 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-23 19:18:08,558 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-23 19:18:08,558 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-23 19:18:09,090 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-23 19:18:09,091 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-23 19:18:09,601 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-23 19:18:09,601 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-23 19:18:09,606 | INPUT | INFO | Press Enter
2026-05-23 19:18:09,606 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-23 19:18:10,128 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-23 19:18:10,128 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-23 19:18:10,665 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-23 19:18:10,665 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-23 19:18:10,669 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-23 19:18:10,669 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-23 19:18:11,188 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-23 19:18:11,691 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-23 19:18:11,691 | TEXT | INFO | Getting text Total Price
2026-05-23 19:18:11,695 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-23 19:18:11,696 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-23 19:18:11,716 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-23 19:18:11,716 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
