2026-05-03 15:38:57,122 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-03 15:38:57,123 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-03 15:38:57,641 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 15:38:57,641 | BUTTON | INFO | Checking button Logout is enabled
2026-05-03 15:38:57,651 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 15:38:57,651 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-03 15:38:58,204 | BASE_PAGE | INFO | Opening url /#/login
2026-05-03 15:38:58,707 | BASE_PAGE | INFO | Closing welcome banner
2026-05-03 15:38:59,711 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 15:38:59,711 | INPUT | INFO | Fill input Email with rogersmorgan@example.com
2026-05-03 15:39:00,220 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 15:39:00,221 | INPUT | INFO | Checking that input Email has value rogersmorgan@example.com
2026-05-03 15:39:00,224 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 15:39:00,224 | INPUT | INFO | Fill input Password with Y&kH8I!e)m
2026-05-03 15:39:00,736 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 15:39:00,736 | INPUT | INFO | Checking that input Password has value Y&kH8I!e)m
2026-05-03 15:39:00,739 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-03 15:39:00,739 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-03 15:39:01,266 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-03 15:39:01,266 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-03 15:39:01,821 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:39:01,821 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-03 15:39:02,336 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:39:02,336 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-03 15:39:02,341 | INPUT | INFO | Press Enter
2026-05-03 15:39:02,341 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:39:02,881 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-03 15:39:02,881 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-03 15:39:03,404 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:39:03,404 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-03 15:39:03,407 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:39:03,408 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-03 15:39:03,943 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-03 15:39:04,447 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-03 15:39:04,447 | TEXT | INFO | Getting text Total Price
2026-05-03 15:39:04,450 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-03 15:39:04,452 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 15:39:04,475 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 15:39:04,475 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
