2026-05-02 14:10:11,932 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-02 14:10:11,932 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-02 14:10:12,458 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-02 14:10:12,458 | BUTTON | INFO | Checking button Logout is enabled
2026-05-02 14:10:12,470 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-02 14:10:12,470 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-02 14:10:13,061 | BASE_PAGE | INFO | Opening url /#/login
2026-05-02 14:10:13,566 | BASE_PAGE | INFO | Closing welcome banner
2026-05-02 14:10:14,571 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:10:14,571 | INPUT | INFO | Fill input Email with tylermiller@example.net
2026-05-02 14:10:15,085 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:10:15,085 | INPUT | INFO | Checking that input Email has value tylermiller@example.net
2026-05-02 14:10:15,091 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:10:15,091 | INPUT | INFO | Fill input Password with $7IO_4^rjN
2026-05-02 14:10:15,611 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:10:15,611 | INPUT | INFO | Checking that input Password has value $7IO_4^rjN
2026-05-02 14:10:15,615 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-02 14:10:15,615 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-02 14:10:16,159 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-02 14:10:16,159 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-02 14:10:16,720 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:10:16,721 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-02 14:10:17,238 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:10:17,238 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-02 14:10:17,242 | INPUT | INFO | Press Enter
2026-05-02 14:10:17,242 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:10:17,771 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-02 14:10:17,771 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-02 14:10:18,323 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:10:18,323 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-02 14:10:18,327 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:10:18,327 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-02 14:10:18,857 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-02 14:10:19,360 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-02 14:10:19,360 | TEXT | INFO | Getting text Total Price
2026-05-02 14:10:19,364 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-02 14:10:19,366 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-02 14:10:19,387 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-02 14:10:19,387 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
