2026-05-23 19:15:25,344 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-23 19:15:25,362 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-23 19:15:25,365 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-23 19:15:25,365 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-23 19:15:25,881 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-23 19:15:25,881 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-23 19:15:26,390 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-23 19:15:26,390 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-23 19:15:26,394 | INPUT | INFO | Press Enter
2026-05-23 19:15:26,394 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-23 19:15:26,920 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-23 19:15:26,921 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-23 19:15:27,461 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-23 19:15:27,461 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-23 19:15:27,464 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-23 19:15:27,464 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-23 19:15:27,982 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-23 19:15:28,485 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-23 19:15:28,485 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-23 19:15:28,489 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-23 19:15:28,489 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-23 19:15:29,018 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-23 19:15:29,018 | BUTTON | INFO | Checking button Select address is enabled
2026-05-23 19:15:29,022 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-23 19:15:29,022 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-23 19:15:29,548 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-23 19:15:29,548 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-23 19:15:29,551 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-23 19:15:29,552 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-23 19:15:30,099 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-23 19:15:30,099 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-23 19:15:30,616 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-23 19:15:30,616 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-23 19:15:30,619 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-23 19:15:30,620 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-23 19:15:31,206 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-23 19:15:31,206 | BUTTON | INFO | Checking button Select card is enabled
2026-05-23 19:15:31,210 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-23 19:15:31,210 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-23 19:15:31,732 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-23 19:15:31,732 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-23 19:15:31,736 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-23 19:15:31,736 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-23 19:15:32,280 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-23 19:15:32,280 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-23 19:15:32,285 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-23 19:15:32,303 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-23 19:15:32,303 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-23 19:15:32,953 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-23 19:15:32,957 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
