2026-05-02 14:25:04,994 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-02 14:25:04,994 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-02 14:25:05,517 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-02 14:25:05,517 | BUTTON | INFO | Checking button Logout is enabled
2026-05-02 14:25:05,530 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-02 14:25:05,530 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-02 14:25:06,131 | BASE_PAGE | INFO | Opening url /#/login
2026-05-02 14:25:06,636 | BASE_PAGE | INFO | Closing welcome banner
2026-05-02 14:25:07,641 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:25:07,641 | INPUT | INFO | Fill input Email with justintyler@example.org
2026-05-02 14:25:08,153 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:25:08,153 | INPUT | INFO | Checking that input Email has value justintyler@example.org
2026-05-02 14:25:08,157 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:25:08,157 | INPUT | INFO | Fill input Password with 3jRhas^z%O
2026-05-02 14:25:08,685 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:25:08,685 | INPUT | INFO | Checking that input Password has value 3jRhas^z%O
2026-05-02 14:25:08,691 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-02 14:25:08,691 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-02 14:25:09,236 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-02 14:25:09,236 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-02 14:25:09,792 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:25:09,793 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-02 14:25:10,309 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:25:10,310 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-02 14:25:10,315 | INPUT | INFO | Press Enter
2026-05-02 14:25:10,315 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:25:10,859 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-02 14:25:10,859 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-02 14:25:11,378 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:25:11,379 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-02 14:25:11,382 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:25:11,382 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-02 14:25:11,916 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-02 14:25:12,423 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-02 14:25:12,423 | TEXT | INFO | Getting text Total Price
2026-05-02 14:25:12,427 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-02 14:25:12,429 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-02 14:25:12,449 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-02 14:25:12,450 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
