2026-05-03 16:15:11,557 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-03 16:15:11,557 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-03 16:15:12,104 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 16:15:12,104 | BUTTON | INFO | Checking button Logout is enabled
2026-05-03 16:15:12,117 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 16:15:12,117 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-03 16:15:12,754 | BASE_PAGE | INFO | Opening url /#/login
2026-05-03 16:15:13,259 | BASE_PAGE | INFO | Closing welcome banner
2026-05-03 16:15:14,263 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:15:14,263 | INPUT | INFO | Fill input Email with ypowell@example.com
2026-05-03 16:15:14,776 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:15:14,776 | INPUT | INFO | Checking that input Email has value ypowell@example.com
2026-05-03 16:15:14,780 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:15:14,780 | INPUT | INFO | Fill input Password with $CRx8WybD6
2026-05-03 16:15:15,294 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:15:15,294 | INPUT | INFO | Checking that input Password has value $CRx8WybD6
2026-05-03 16:15:15,297 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-03 16:15:15,297 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-03 16:15:15,857 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-03 16:15:15,857 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-03 16:15:16,416 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:15:16,416 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-03 16:15:16,935 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:15:16,935 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-03 16:15:16,940 | INPUT | INFO | Press Enter
2026-05-03 16:15:16,941 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:15:17,483 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-03 16:15:17,483 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-03 16:15:18,002 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 16:15:18,002 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-03 16:15:18,006 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 16:15:18,006 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-03 16:15:18,541 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-03 16:15:19,044 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-03 16:15:19,044 | TEXT | INFO | Getting text Total Price
2026-05-03 16:15:19,048 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-03 16:15:19,049 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 16:15:19,073 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 16:15:19,073 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
