2026-01-27 21:47:23,546 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-01-27 21:47:23,569 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-01-27 21:47:23,574 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-01-27 21:47:23,574 | BASE_ELEMENT | INFO | Clicking button Open search
2026-01-27 21:47:24,096 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-27 21:47:24,096 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-01-27 21:47:24,613 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-27 21:47:24,614 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-01-27 21:47:24,617 | INPUT | INFO | Press Enter
2026-01-27 21:47:24,617 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-27 21:47:25,152 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-01-27 21:47:25,153 | BASE_ELEMENT | INFO | Clicking button Close search
2026-01-27 21:47:25,695 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-27 21:47:25,695 | BUTTON | INFO | Checking button Add product Button is enabled
2026-01-27 21:47:25,699 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-27 21:47:25,699 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-01-27 21:47:26,232 | BASE_PAGE | INFO | Opening url /#/basket
2026-01-27 21:47:26,736 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-01-27 21:47:26,736 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-01-27 21:47:26,739 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-01-27 21:47:26,739 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-01-27 21:47:27,267 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-01-27 21:47:27,267 | BUTTON | INFO | Checking button Select address is enabled
2026-01-27 21:47:27,270 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-01-27 21:47:27,271 | BASE_ELEMENT | INFO | Clicking button Select address
2026-01-27 21:47:27,795 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-01-27 21:47:27,795 | BUTTON | INFO | Checking button Continue Button is enabled
2026-01-27 21:47:27,798 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-01-27 21:47:27,798 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-01-27 21:47:28,340 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-01-27 21:47:28,340 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-01-27 21:47:28,860 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-01-27 21:47:28,861 | BUTTON | INFO | Checking button Continue Button is enabled
2026-01-27 21:47:28,864 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-01-27 21:47:28,864 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-01-27 21:47:29,449 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-01-27 21:47:29,449 | BUTTON | INFO | Checking button Select card is enabled
2026-01-27 21:47:29,453 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-01-27 21:47:29,453 | BASE_ELEMENT | INFO | Clicking button Select card
2026-01-27 21:47:29,978 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-01-27 21:47:29,978 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-01-27 21:47:29,982 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-01-27 21:47:29,982 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-01-27 21:47:30,555 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-01-27 21:47:30,555 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-01-27 21:47:30,561 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-01-27 21:47:30,579 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-01-27 21:47:30,580 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-01-27 21:47:31,326 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-01-27 21:47:31,332 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
