2026-05-03 15:45:39,982 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-03 15:45:39,983 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-03 15:45:40,509 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 15:45:40,509 | BUTTON | INFO | Checking button Logout is enabled
2026-05-03 15:45:40,529 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 15:45:40,529 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-03 15:45:41,131 | BASE_PAGE | INFO | Opening url /#/login
2026-05-03 15:45:41,636 | BASE_PAGE | INFO | Closing welcome banner
2026-05-03 15:45:42,641 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 15:45:42,642 | INPUT | INFO | Fill input Email with scottwilliams@example.com
2026-05-03 15:45:43,153 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 15:45:43,153 | INPUT | INFO | Checking that input Email has value scottwilliams@example.com
2026-05-03 15:45:43,157 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 15:45:43,157 | INPUT | INFO | Fill input Password with qpmgRKBY^9
2026-05-03 15:45:43,671 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 15:45:43,672 | INPUT | INFO | Checking that input Password has value qpmgRKBY^9
2026-05-03 15:45:43,675 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-03 15:45:43,676 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-03 15:45:44,235 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-03 15:45:44,235 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-03 15:45:44,809 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:45:44,809 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-03 15:45:45,330 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:45:45,330 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-03 15:45:45,335 | INPUT | INFO | Press Enter
2026-05-03 15:45:45,336 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:45:45,870 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-03 15:45:45,871 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-03 15:45:46,404 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:45:46,404 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-03 15:45:46,408 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:45:46,408 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-03 15:45:46,941 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-03 15:45:47,448 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-03 15:45:47,448 | TEXT | INFO | Getting text Total Price
2026-05-03 15:45:47,453 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-03 15:45:47,454 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 15:45:47,475 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 15:45:47,476 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
