2026-05-01 21:41:11,922 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-01 21:41:11,943 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-01 21:41:11,947 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-01 21:41:11,947 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-01 21:41:12,482 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:41:12,482 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-01 21:41:13,002 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:41:13,002 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-01 21:41:13,008 | INPUT | INFO | Press Enter
2026-05-01 21:41:13,008 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:41:13,551 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-01 21:41:13,551 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-01 21:41:14,074 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:41:14,075 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-01 21:41:14,078 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:41:14,079 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-01 21:41:14,615 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-01 21:41:15,118 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-01 21:41:15,118 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-01 21:41:15,122 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-01 21:41:15,122 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-01 21:41:15,661 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-01 21:41:15,661 | BUTTON | INFO | Checking button Select address is enabled
2026-05-01 21:41:15,665 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-01 21:41:15,665 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-01 21:41:16,193 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-01 21:41:16,193 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-01 21:41:16,196 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-01 21:41:16,196 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-01 21:41:16,770 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-01 21:41:16,770 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-01 21:41:17,292 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-01 21:41:17,292 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-01 21:41:17,296 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-01 21:41:17,296 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-01 21:41:17,903 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-01 21:41:17,904 | BUTTON | INFO | Checking button Select card is enabled
2026-05-01 21:41:17,908 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-01 21:41:17,908 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-01 21:41:18,428 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-01 21:41:18,428 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-01 21:41:18,432 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-01 21:41:18,432 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-01 21:41:18,994 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-01 21:41:18,994 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-01 21:41:19,001 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-01 21:41:19,020 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-01 21:41:19,021 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-01 21:41:19,797 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-01 21:41:19,804 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
