2026-05-03 15:39:10,275 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-03 15:39:10,297 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-03 15:39:10,301 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-03 15:39:10,301 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-03 15:39:10,824 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:39:10,824 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-03 15:39:11,345 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:39:11,345 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-03 15:39:11,349 | INPUT | INFO | Press Enter
2026-05-03 15:39:11,349 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:39:11,876 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-03 15:39:11,876 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-03 15:39:12,421 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:39:12,421 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-03 15:39:12,424 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:39:12,424 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-03 15:39:12,957 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-03 15:39:13,460 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-03 15:39:13,460 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-03 15:39:13,464 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-03 15:39:13,464 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-03 15:39:13,993 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-03 15:39:13,994 | BUTTON | INFO | Checking button Select address is enabled
2026-05-03 15:39:13,997 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-03 15:39:13,997 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-03 15:39:14,522 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-03 15:39:14,523 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-03 15:39:14,526 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-03 15:39:14,526 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-03 15:39:15,077 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-03 15:39:15,077 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-03 15:39:15,604 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-03 15:39:15,604 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-03 15:39:15,608 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-03 15:39:15,608 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-03 15:39:16,219 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-03 15:39:16,219 | BUTTON | INFO | Checking button Select card is enabled
2026-05-03 15:39:16,222 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-03 15:39:16,222 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-03 15:39:16,737 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-03 15:39:16,738 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-03 15:39:16,741 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-03 15:39:16,741 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-03 15:39:17,304 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-03 15:39:17,304 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-03 15:39:17,310 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-03 15:39:17,331 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-03 15:39:17,331 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-03 15:39:18,041 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-03 15:39:18,045 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
