2026-05-01 21:42:34,773 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-01 21:42:34,793 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-01 21:42:34,798 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-01 21:42:34,798 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-01 21:42:35,322 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:42:35,323 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-01 21:42:35,837 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:42:35,837 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-01 21:42:35,840 | INPUT | INFO | Press Enter
2026-05-01 21:42:35,840 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:42:36,387 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-01 21:42:36,387 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-01 21:42:36,918 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:42:36,918 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-01 21:42:36,921 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:42:36,921 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-01 21:42:37,452 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-01 21:42:37,955 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-01 21:42:37,955 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-01 21:42:37,959 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-01 21:42:37,959 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-01 21:42:38,489 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-01 21:42:38,489 | BUTTON | INFO | Checking button Select address is enabled
2026-05-01 21:42:38,493 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-01 21:42:38,493 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-01 21:42:39,018 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-01 21:42:39,018 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-01 21:42:39,021 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-01 21:42:39,021 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-01 21:42:39,595 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-01 21:42:39,595 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-01 21:42:40,119 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-01 21:42:40,119 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-01 21:42:40,123 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-01 21:42:40,123 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-01 21:42:40,708 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-01 21:42:40,708 | BUTTON | INFO | Checking button Select card is enabled
2026-05-01 21:42:40,712 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-01 21:42:40,712 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-01 21:42:41,235 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-01 21:42:41,235 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-01 21:42:41,239 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-01 21:42:41,239 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-01 21:42:41,794 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-01 21:42:41,794 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-01 21:42:41,800 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-01 21:42:41,818 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-01 21:42:41,818 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-01 21:42:42,556 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-01 21:42:42,560 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
