2026-01-27 21:40:59,266 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-01-27 21:40:59,289 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-01-27 21:40:59,295 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-01-27 21:40:59,295 | BASE_ELEMENT | INFO | Clicking button Open search
2026-01-27 21:40:59,821 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-27 21:40:59,821 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-01-27 21:41:00,337 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-27 21:41:00,337 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-01-27 21:41:00,341 | INPUT | INFO | Press Enter
2026-01-27 21:41:00,341 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-27 21:41:00,903 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-01-27 21:41:00,903 | BASE_ELEMENT | INFO | Clicking button Close search
2026-01-27 21:41:01,437 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-27 21:41:01,437 | BUTTON | INFO | Checking button Add product Button is enabled
2026-01-27 21:41:01,442 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-27 21:41:01,442 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-01-27 21:41:01,977 | BASE_PAGE | INFO | Opening url /#/basket
2026-01-27 21:41:02,480 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-01-27 21:41:02,481 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-01-27 21:41:02,485 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-01-27 21:41:02,485 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-01-27 21:41:03,017 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-01-27 21:41:03,017 | BUTTON | INFO | Checking button Select address is enabled
2026-01-27 21:41:03,021 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-01-27 21:41:03,021 | BASE_ELEMENT | INFO | Clicking button Select address
2026-01-27 21:41:03,551 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-01-27 21:41:03,551 | BUTTON | INFO | Checking button Continue Button is enabled
2026-01-27 21:41:03,555 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-01-27 21:41:03,555 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-01-27 21:41:04,103 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-01-27 21:41:04,103 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-01-27 21:41:04,637 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-01-27 21:41:04,637 | BUTTON | INFO | Checking button Continue Button is enabled
2026-01-27 21:41:04,641 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-01-27 21:41:04,641 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-01-27 21:41:05,269 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-01-27 21:41:05,270 | BUTTON | INFO | Checking button Select card is enabled
2026-01-27 21:41:05,274 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-01-27 21:41:05,274 | BASE_ELEMENT | INFO | Clicking button Select card
2026-01-27 21:41:05,802 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-01-27 21:41:05,802 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-01-27 21:41:05,806 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-01-27 21:41:05,807 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-01-27 21:41:06,371 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-01-27 21:41:06,371 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-01-27 21:41:06,377 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-01-27 21:41:06,397 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-01-27 21:41:06,398 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-01-27 21:41:07,189 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-01-27 21:41:07,195 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
