2026-01-28 17:00:06,172 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-01-28 17:00:06,172 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-01-28 17:00:06,703 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-01-28 17:00:06,703 | BUTTON | INFO | Checking button Logout is enabled
2026-01-28 17:00:06,707 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-01-28 17:00:06,707 | BASE_ELEMENT | INFO | Clicking button Logout
2026-01-28 17:00:07,256 | BASE_PAGE | INFO | Opening url /#/login
2026-01-28 17:00:07,761 | BASE_PAGE | INFO | Closing welcome banner
2026-01-28 17:00:08,765 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-28 17:00:08,766 | INPUT | INFO | Fill input Email with matthewrobinson@example.com
2026-01-28 17:00:09,275 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-28 17:00:09,275 | INPUT | INFO | Checking that input Email has value matthewrobinson@example.com
2026-01-28 17:00:09,280 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-28 17:00:09,280 | INPUT | INFO | Fill input Password with M_7IBb9IMM
2026-01-28 17:00:09,796 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-28 17:00:09,796 | INPUT | INFO | Checking that input Password has value M_7IBb9IMM
2026-01-28 17:00:09,800 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-01-28 17:00:09,800 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-01-28 17:00:10,331 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-01-28 17:00:10,332 | BASE_ELEMENT | INFO | Clicking button Open search
2026-01-28 17:00:10,904 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-28 17:00:10,904 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-01-28 17:00:11,423 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-28 17:00:11,423 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-01-28 17:00:11,427 | INPUT | INFO | Press Enter
2026-01-28 17:00:11,427 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-28 17:00:11,960 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-01-28 17:00:11,960 | BASE_ELEMENT | INFO | Clicking button Close search
2026-01-28 17:00:12,503 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-28 17:00:12,503 | BUTTON | INFO | Checking button Add product Button is enabled
2026-01-28 17:00:12,507 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-28 17:00:12,507 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-01-28 17:00:13,038 | BASE_PAGE | INFO | Opening url /#/basket
2026-01-28 17:00:13,542 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-01-28 17:00:13,542 | TEXT | INFO | Getting text Total Price
2026-01-28 17:00:13,546 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-01-28 17:00:13,547 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-01-28 17:00:13,570 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-01-28 17:00:13,570 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
