2026-05-01 21:37:07,035 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-01 21:37:07,035 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-01 21:37:07,554 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-01 21:37:07,555 | BUTTON | INFO | Checking button Logout is enabled
2026-05-01 21:37:07,566 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-01 21:37:07,567 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-01 21:37:08,148 | BASE_PAGE | INFO | Opening url /#/login
2026-05-01 21:37:08,653 | BASE_PAGE | INFO | Closing welcome banner
2026-05-01 21:37:09,658 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:37:09,658 | INPUT | INFO | Fill input Email with robertsscott@example.net
2026-05-01 21:37:10,170 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:37:10,170 | INPUT | INFO | Checking that input Email has value robertsscott@example.net
2026-05-01 21:37:10,174 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:37:10,174 | INPUT | INFO | Fill input Password with 1EMF6WYa+o
2026-05-01 21:37:10,686 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:37:10,686 | INPUT | INFO | Checking that input Password has value 1EMF6WYa+o
2026-05-01 21:37:10,690 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-01 21:37:10,690 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-01 21:37:11,247 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-01 21:37:11,248 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-01 21:37:11,797 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:37:11,797 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-01 21:37:12,319 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:37:12,319 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-01 21:37:12,325 | INPUT | INFO | Press Enter
2026-05-01 21:37:12,325 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-01 21:37:12,865 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-01 21:37:12,865 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-01 21:37:13,384 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:37:13,384 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-01 21:37:13,388 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-01 21:37:13,388 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-01 21:37:13,920 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-01 21:37:14,427 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-01 21:37:14,427 | TEXT | INFO | Getting text Total Price
2026-05-01 21:37:14,431 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-01 21:37:14,432 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-01 21:37:14,450 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-01 21:37:14,451 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
