2026-05-03 15:54:30,313 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-03 15:54:30,333 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-03 15:54:30,337 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-03 15:54:30,337 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-03 15:54:30,869 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:54:30,869 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-03 15:54:31,379 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:54:31,379 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-03 15:54:31,382 | INPUT | INFO | Press Enter
2026-05-03 15:54:31,383 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:54:31,919 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-03 15:54:31,919 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-03 15:54:32,465 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:54:32,465 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-03 15:54:32,469 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:54:32,469 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-03 15:54:33,002 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-03 15:54:33,508 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-03 15:54:33,509 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-03 15:54:33,512 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-03 15:54:33,512 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-03 15:54:34,038 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-03 15:54:34,038 | BUTTON | INFO | Checking button Select address is enabled
2026-05-03 15:54:34,042 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-03 15:54:34,042 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-03 15:54:34,565 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-03 15:54:34,565 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-03 15:54:34,569 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-03 15:54:34,569 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-03 15:54:35,111 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-03 15:54:35,111 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-03 15:54:35,632 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-03 15:54:35,632 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-03 15:54:35,636 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-03 15:54:35,636 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-03 15:54:36,222 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-03 15:54:36,222 | BUTTON | INFO | Checking button Select card is enabled
2026-05-03 15:54:36,226 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-03 15:54:36,226 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-03 15:54:36,751 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-03 15:54:36,751 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-03 15:54:36,754 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-03 15:54:36,755 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-03 15:54:37,313 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-03 15:54:37,314 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-03 15:54:37,320 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-03 15:54:37,336 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-03 15:54:37,336 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-03 15:54:38,114 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-03 15:54:38,118 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
