2026-05-03 16:18:44,441 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-03 16:18:44,462 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-03 16:18:44,466 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-03 16:18:44,466 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-03 16:18:44,997 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:18:44,997 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-03 16:18:45,521 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:18:45,521 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-03 16:18:45,527 | INPUT | INFO | Press Enter
2026-05-03 16:18:45,527 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:18:46,066 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-03 16:18:46,066 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-03 16:18:46,597 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 16:18:46,597 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-03 16:18:46,601 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 16:18:46,601 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-03 16:18:47,133 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-03 16:18:47,636 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-03 16:18:47,636 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-03 16:18:47,640 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-03 16:18:47,640 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-03 16:18:48,183 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-03 16:18:48,183 | BUTTON | INFO | Checking button Select address is enabled
2026-05-03 16:18:48,187 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-03 16:18:48,187 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-03 16:18:48,713 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-03 16:18:48,713 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-03 16:18:48,718 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-03 16:18:48,718 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-03 16:18:49,293 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-03 16:18:49,294 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-03 16:18:49,814 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-03 16:18:49,814 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-03 16:18:49,817 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-03 16:18:49,817 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-03 16:18:50,464 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-03 16:18:50,464 | BUTTON | INFO | Checking button Select card is enabled
2026-05-03 16:18:50,468 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-03 16:18:50,468 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-03 16:18:51,003 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-03 16:18:51,003 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-03 16:18:51,006 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-03 16:18:51,007 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-03 16:18:51,556 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-03 16:18:51,556 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-03 16:18:51,562 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-03 16:18:51,584 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-03 16:18:51,585 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-03 16:18:52,384 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-03 16:18:52,389 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
