2026-05-02 14:30:10,329 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-02 14:30:10,359 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-02 14:30:10,371 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-02 14:30:10,371 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-02 14:30:10,916 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:30:10,916 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-02 14:30:11,428 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:30:11,428 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-02 14:30:11,433 | INPUT | INFO | Press Enter
2026-05-02 14:30:11,433 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:30:11,969 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-02 14:30:11,969 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-02 14:30:12,500 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:30:12,500 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-02 14:30:12,504 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:30:12,504 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-02 14:30:13,037 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-02 14:30:13,540 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-02 14:30:13,541 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-02 14:30:13,544 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-02 14:30:13,544 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-02 14:30:14,073 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-02 14:30:14,073 | BUTTON | INFO | Checking button Select address is enabled
2026-05-02 14:30:14,077 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-02 14:30:14,077 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-02 14:30:14,599 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-02 14:30:14,599 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-02 14:30:14,603 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-02 14:30:14,603 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-02 14:30:15,152 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-02 14:30:15,152 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-02 14:30:15,683 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-02 14:30:15,684 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-02 14:30:15,687 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-02 14:30:15,687 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-02 14:30:16,277 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-02 14:30:16,278 | BUTTON | INFO | Checking button Select card is enabled
2026-05-02 14:30:16,281 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-02 14:30:16,281 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-02 14:30:16,807 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-02 14:30:16,807 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-02 14:30:16,811 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-02 14:30:16,811 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-02 14:30:17,358 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-02 14:30:17,358 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-02 14:30:17,364 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-02 14:30:17,383 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-02 14:30:17,383 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-02 14:30:18,157 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-02 14:30:18,162 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
