2026-01-27 21:47:18,051 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-01-27 21:47:18,051 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-01-27 21:47:18,584 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-01-27 21:47:18,584 | BUTTON | INFO | Checking button Logout is enabled
2026-01-27 21:47:18,588 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-01-27 21:47:18,588 | BASE_ELEMENT | INFO | Clicking button Logout
2026-01-27 21:47:19,138 | BASE_PAGE | INFO | Opening url /#/login
2026-01-27 21:47:19,642 | BASE_PAGE | INFO | Closing welcome banner
2026-01-27 21:47:20,647 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-27 21:47:20,647 | INPUT | INFO | Fill input Email with kevin98@example.net
2026-01-27 21:47:21,159 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-27 21:47:21,159 | INPUT | INFO | Checking that input Email has value kevin98@example.net
2026-01-27 21:47:21,164 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-27 21:47:21,164 | INPUT | INFO | Fill input Password with Y01nZykn^q
2026-01-27 21:47:21,686 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-27 21:47:21,686 | INPUT | INFO | Checking that input Password has value Y01nZykn^q
2026-01-27 21:47:21,689 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-01-27 21:47:21,689 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-01-27 21:47:22,247 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-01-27 21:47:22,247 | BASE_ELEMENT | INFO | Clicking button Open search
2026-01-27 21:47:22,802 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-27 21:47:22,803 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-01-27 21:47:23,321 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-27 21:47:23,321 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-01-27 21:47:23,325 | INPUT | INFO | Press Enter
2026-01-27 21:47:23,325 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-27 21:47:23,865 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-01-27 21:47:23,865 | BASE_ELEMENT | INFO | Clicking button Close search
2026-01-27 21:47:24,398 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-27 21:47:24,398 | BUTTON | INFO | Checking button Add product Button is enabled
2026-01-27 21:47:24,402 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-27 21:47:24,402 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-01-27 21:47:24,950 | BASE_PAGE | INFO | Opening url /#/basket
2026-01-27 21:47:25,453 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-01-27 21:47:25,453 | TEXT | INFO | Getting text Total Price
2026-01-27 21:47:25,457 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-01-27 21:47:25,458 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-01-27 21:47:25,484 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-01-27 21:47:25,484 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
