2026-05-03 15:45:53,313 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-03 15:45:53,334 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-03 15:45:53,338 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-03 15:45:53,338 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-03 15:45:53,872 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:45:53,872 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-03 15:45:54,401 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:45:54,402 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-03 15:45:54,406 | INPUT | INFO | Press Enter
2026-05-03 15:45:54,407 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 15:45:54,952 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-03 15:45:54,952 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-03 15:45:55,467 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:45:55,468 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-03 15:45:55,471 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 15:45:55,472 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-03 15:45:56,006 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-03 15:45:56,511 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-03 15:45:56,512 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-03 15:45:56,516 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-03 15:45:56,516 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-03 15:45:57,047 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-03 15:45:57,047 | BUTTON | INFO | Checking button Select address is enabled
2026-05-03 15:45:57,051 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-03 15:45:57,051 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-03 15:45:57,569 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-03 15:45:57,569 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-03 15:45:57,573 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-03 15:45:57,573 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-03 15:45:58,152 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-03 15:45:58,153 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-03 15:45:58,685 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-03 15:45:58,685 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-03 15:45:58,689 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-03 15:45:58,689 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-03 15:45:59,307 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-03 15:45:59,307 | BUTTON | INFO | Checking button Select card is enabled
2026-05-03 15:45:59,311 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-03 15:45:59,311 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-03 15:45:59,840 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-03 15:45:59,840 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-03 15:45:59,844 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-03 15:45:59,844 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-03 15:46:00,396 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-03 15:46:00,397 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-03 15:46:00,403 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-03 15:46:00,421 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-03 15:46:00,421 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-03 15:46:01,207 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-03 15:46:01,211 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
