2026-05-02 14:24:43,078 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-02 14:24:43,096 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-02 14:24:43,100 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-02 14:24:43,100 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-02 14:24:43,633 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:24:43,633 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-02 14:24:44,143 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:24:44,143 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-02 14:24:44,147 | INPUT | INFO | Press Enter
2026-05-02 14:24:44,147 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:24:44,671 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-02 14:24:44,671 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-02 14:24:45,229 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:24:45,229 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-02 14:24:45,232 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:24:45,233 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-02 14:24:45,765 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-02 14:24:46,269 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-02 14:24:46,269 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-02 14:24:46,272 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-02 14:24:46,272 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-02 14:24:46,815 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-02 14:24:46,815 | BUTTON | INFO | Checking button Select address is enabled
2026-05-02 14:24:46,819 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-02 14:24:46,819 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-02 14:24:47,345 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-02 14:24:47,345 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-02 14:24:47,349 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-02 14:24:47,349 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-02 14:24:47,899 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-02 14:24:47,899 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-02 14:24:48,429 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-02 14:24:48,429 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-02 14:24:48,433 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-02 14:24:48,433 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-02 14:24:49,030 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-02 14:24:49,031 | BUTTON | INFO | Checking button Select card is enabled
2026-05-02 14:24:49,035 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-02 14:24:49,035 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-02 14:24:49,583 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-02 14:24:49,583 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-02 14:24:49,587 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-02 14:24:49,587 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-02 14:24:50,138 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-02 14:24:50,139 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-02 14:24:50,145 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-02 14:24:50,167 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-02 14:24:50,167 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-02 14:24:50,930 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-02 14:24:50,934 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
