2026-05-02 14:10:25,255 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-02 14:10:25,287 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-02 14:10:25,301 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-02 14:10:25,301 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-02 14:10:25,851 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:10:25,852 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-02 14:10:26,363 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:10:26,364 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-02 14:10:26,368 | INPUT | INFO | Press Enter
2026-05-02 14:10:26,368 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:10:26,907 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-02 14:10:26,907 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-02 14:10:27,436 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:10:27,436 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-02 14:10:27,440 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:10:27,440 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-02 14:10:27,971 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-02 14:10:28,475 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-02 14:10:28,475 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-02 14:10:28,478 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-02 14:10:28,478 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-02 14:10:29,023 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-02 14:10:29,023 | BUTTON | INFO | Checking button Select address is enabled
2026-05-02 14:10:29,027 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-02 14:10:29,027 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-02 14:10:29,553 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-02 14:10:29,554 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-02 14:10:29,557 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-02 14:10:29,557 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-02 14:10:30,127 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-02 14:10:30,127 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-02 14:10:30,654 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-02 14:10:30,655 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-02 14:10:30,658 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-02 14:10:30,658 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-02 14:10:31,240 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-02 14:10:31,240 | BUTTON | INFO | Checking button Select card is enabled
2026-05-02 14:10:31,244 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-02 14:10:31,244 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-02 14:10:31,771 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-02 14:10:31,772 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-02 14:10:31,776 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-02 14:10:31,776 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-02 14:10:32,348 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-02 14:10:32,349 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-02 14:10:32,355 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-02 14:10:32,376 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-02 14:10:32,376 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-02 14:10:33,136 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-02 14:10:33,141 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
