2026-05-23 19:15:12,368 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-23 19:15:12,368 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-23 19:15:12,883 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-23 19:15:12,883 | BUTTON | INFO | Checking button Logout is enabled
2026-05-23 19:15:12,887 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-23 19:15:12,887 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-23 19:15:13,431 | BASE_PAGE | INFO | Opening url /#/login
2026-05-23 19:15:13,934 | BASE_PAGE | INFO | Closing welcome banner
2026-05-23 19:15:14,938 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-23 19:15:14,938 | INPUT | INFO | Fill input Email with angelarobinson@example.net
2026-05-23 19:15:15,447 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-23 19:15:15,447 | INPUT | INFO | Checking that input Email has value angelarobinson@example.net
2026-05-23 19:15:15,450 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-23 19:15:15,450 | INPUT | INFO | Fill input Password with mM&5G2uX7r
2026-05-23 19:15:15,961 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-23 19:15:15,961 | INPUT | INFO | Checking that input Password has value mM&5G2uX7r
2026-05-23 19:15:15,965 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-23 19:15:15,965 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-23 19:15:16,504 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-23 19:15:16,504 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-23 19:15:17,036 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-23 19:15:17,037 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-23 19:15:17,549 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-23 19:15:17,549 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-23 19:15:17,552 | INPUT | INFO | Press Enter
2026-05-23 19:15:17,552 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-23 19:15:18,071 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-23 19:15:18,071 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-23 19:15:18,611 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-23 19:15:18,611 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-23 19:15:18,615 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-23 19:15:18,615 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-23 19:15:19,136 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-23 19:15:19,638 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-23 19:15:19,638 | TEXT | INFO | Getting text Total Price
2026-05-23 19:15:19,641 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-23 19:15:19,643 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-23 19:15:19,658 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-23 19:15:19,658 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
