2026-05-02 14:25:18,249 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-05-02 14:25:18,270 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-05-02 14:25:18,275 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-02 14:25:18,275 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-02 14:25:18,798 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:25:18,798 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-02 14:25:19,310 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:25:19,310 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-02 14:25:19,313 | INPUT | INFO | Press Enter
2026-05-02 14:25:19,313 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:25:19,839 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-02 14:25:19,839 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-02 14:25:20,366 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:25:20,366 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-02 14:25:20,369 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:25:20,369 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-02 14:25:20,900 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-02 14:25:21,405 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-02 14:25:21,406 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-05-02 14:25:21,409 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-05-02 14:25:21,409 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-05-02 14:25:21,949 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-02 14:25:21,949 | BUTTON | INFO | Checking button Select address is enabled
2026-05-02 14:25:21,953 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-05-02 14:25:21,953 | BASE_ELEMENT | INFO | Clicking button Select address
2026-05-02 14:25:22,479 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-02 14:25:22,479 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-02 14:25:22,483 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-05-02 14:25:22,483 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-02 14:25:23,071 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-05-02 14:25:23,071 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-05-02 14:25:23,596 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-02 14:25:23,596 | BUTTON | INFO | Checking button Continue Button is enabled
2026-05-02 14:25:23,605 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-05-02 14:25:23,605 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-05-02 14:25:24,206 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-02 14:25:24,206 | BUTTON | INFO | Checking button Select card is enabled
2026-05-02 14:25:24,210 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-05-02 14:25:24,210 | BASE_ELEMENT | INFO | Clicking button Select card
2026-05-02 14:25:24,730 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-02 14:25:24,730 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-05-02 14:25:24,734 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-05-02 14:25:24,734 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-05-02 14:25:25,286 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-05-02 14:25:25,286 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-05-02 14:25:25,293 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-05-02 14:25:25,313 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-05-02 14:25:25,313 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-05-02 14:25:26,080 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-05-02 14:25:26,085 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
