2026-05-03 16:09:22,789 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-03 16:09:22,790 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-03 16:09:23,327 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 16:09:23,327 | BUTTON | INFO | Checking button Logout is enabled
2026-05-03 16:09:23,341 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-03 16:09:23,341 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-03 16:09:23,996 | BASE_PAGE | INFO | Opening url /#/login
2026-05-03 16:09:24,500 | BASE_PAGE | INFO | Closing welcome banner
2026-05-03 16:09:25,505 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:09:25,506 | INPUT | INFO | Fill input Email with james62@example.com
2026-05-03 16:09:26,016 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:09:26,016 | INPUT | INFO | Checking that input Email has value james62@example.com
2026-05-03 16:09:26,020 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:09:26,020 | INPUT | INFO | Fill input Password with R!6Ce_j0Xl
2026-05-03 16:09:26,533 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:09:26,533 | INPUT | INFO | Checking that input Password has value R!6Ce_j0Xl
2026-05-03 16:09:26,538 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-03 16:09:26,538 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-03 16:09:27,094 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-03 16:09:27,094 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-03 16:09:27,646 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:09:27,646 | INPUT | INFO | Fill input Search with Apple Juice (1000ml)
2026-05-03 16:09:28,163 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:09:28,163 | INPUT | INFO | Checking that input Search has value Apple Juice (1000ml)
2026-05-03 16:09:28,167 | INPUT | INFO | Press Enter
2026-05-03 16:09:28,167 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-03 16:09:28,699 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-03 16:09:28,699 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-03 16:09:29,238 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 16:09:29,238 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-03 16:09:29,242 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-03 16:09:29,242 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-03 16:09:29,773 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-03 16:09:30,278 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-03 16:09:30,278 | TEXT | INFO | Getting text Total Price
2026-05-03 16:09:30,282 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-03 16:09:30,284 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 16:09:30,300 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-03 16:09:30,301 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
