2026-05-02 14:24:29,829 | BASE_ELEMENT | INFO | Getting locator button#navbarAccount at index 0
2026-05-02 14:24:29,829 | BASE_ELEMENT | INFO | Clicking button Account menu
2026-05-02 14:24:30,353 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-02 14:24:30,353 | BUTTON | INFO | Checking button Logout is enabled
2026-05-02 14:24:30,365 | BASE_ELEMENT | INFO | Getting locator button#navbarLogoutButton at index 0
2026-05-02 14:24:30,365 | BASE_ELEMENT | INFO | Clicking button Logout
2026-05-02 14:24:30,957 | BASE_PAGE | INFO | Opening url /#/login
2026-05-02 14:24:31,462 | BASE_PAGE | INFO | Closing welcome banner
2026-05-02 14:24:32,467 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:24:32,467 | INPUT | INFO | Fill input Email with keywilliam@example.net
2026-05-02 14:24:32,978 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:24:32,978 | INPUT | INFO | Checking that input Email has value keywilliam@example.net
2026-05-02 14:24:32,982 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:24:32,982 | INPUT | INFO | Fill input Password with Emu2pRQNF#
2026-05-02 14:24:33,496 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:24:33,496 | INPUT | INFO | Checking that input Password has value Emu2pRQNF#
2026-05-02 14:24:33,500 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-02 14:24:33,500 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-02 14:24:34,050 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-05-02 14:24:34,051 | BASE_ELEMENT | INFO | Clicking button Open search
2026-05-02 14:24:34,610 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:24:34,610 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-05-02 14:24:35,127 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:24:35,127 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-05-02 14:24:35,133 | INPUT | INFO | Press Enter
2026-05-02 14:24:35,133 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-05-02 14:24:35,676 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-05-02 14:24:35,677 | BASE_ELEMENT | INFO | Clicking button Close search
2026-05-02 14:24:36,213 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:24:36,213 | BUTTON | INFO | Checking button Add product Button is enabled
2026-05-02 14:24:36,217 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-05-02 14:24:36,217 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-05-02 14:24:36,752 | BASE_PAGE | INFO | Opening url /#/basket
2026-05-02 14:24:37,257 | BASE_ELEMENT | INFO | Getting locator div#price at index 0
2026-05-02 14:24:37,257 | TEXT | INFO | Getting text Total Price
2026-05-02 14:24:37,261 | BASKET_ASSERTIONS | INFO | Checking product price changes for deluxe members
2026-05-02 14:24:37,262 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/9
2026-05-02 14:24:37,279 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/9
2026-05-02 14:24:37,279 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/basket
