2026-01-28 17:00:14,854 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Addresss
2026-01-28 17:00:14,876 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Addresss
2026-01-28 17:00:14,882 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" search ") at index 0
2026-01-28 17:00:14,882 | BASE_ELEMENT | INFO | Clicking button Open search
2026-01-28 17:00:15,400 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-28 17:00:15,400 | INPUT | INFO | Fill input Search with Lemon Juice (500ml)
2026-01-28 17:00:15,920 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-28 17:00:15,920 | INPUT | INFO | Checking that input Search has value Lemon Juice (500ml)
2026-01-28 17:00:15,925 | INPUT | INFO | Press Enter
2026-01-28 17:00:15,925 | BASE_ELEMENT | INFO | Getting locator input[type="text"] at index 0
2026-01-28 17:00:16,471 | BASE_ELEMENT | INFO | Getting locator app-mat-search-bar:has-text(" close ") at index 0
2026-01-28 17:00:16,471 | BASE_ELEMENT | INFO | Clicking button Close search
2026-01-28 17:00:16,999 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-28 17:00:17,000 | BUTTON | INFO | Checking button Add product Button is enabled
2026-01-28 17:00:17,004 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Add to Basket"] at index 0
2026-01-28 17:00:17,004 | BASE_ELEMENT | INFO | Clicking button Add product Button
2026-01-28 17:00:17,537 | BASE_PAGE | INFO | Opening url /#/basket
2026-01-28 17:00:18,041 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-01-28 17:00:18,041 | BUTTON | INFO | Checking button Checkout Button is enabled
2026-01-28 17:00:18,045 | BASE_ELEMENT | INFO | Getting locator button#checkoutButton at index 0
2026-01-28 17:00:18,045 | BASE_ELEMENT | INFO | Clicking button Checkout Button
2026-01-28 17:00:18,586 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-01-28 17:00:18,586 | BUTTON | INFO | Checking button Select address is enabled
2026-01-28 17:00:18,590 | BASE_ELEMENT | INFO | Getting locator mat-radio-button at index 0
2026-01-28 17:00:18,590 | BASE_ELEMENT | INFO | Clicking button Select address
2026-01-28 17:00:19,119 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-01-28 17:00:19,119 | BUTTON | INFO | Checking button Continue Button is enabled
2026-01-28 17:00:19,123 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to payment selection"] at index 0
2026-01-28 17:00:19,123 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-01-28 17:00:19,667 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 1
2026-01-28 17:00:19,668 | BASE_ELEMENT | INFO | Clicking button Delivery option Button
2026-01-28 17:00:20,202 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-01-28 17:00:20,202 | BUTTON | INFO | Checking button Continue Button is enabled
2026-01-28 17:00:20,206 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to delivery method selection"] at index 0
2026-01-28 17:00:20,206 | BASE_ELEMENT | INFO | Clicking button Continue Button
2026-01-28 17:00:20,822 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-01-28 17:00:20,822 | BUTTON | INFO | Checking button Select card is enabled
2026-01-28 17:00:20,826 | BASE_ELEMENT | INFO | Getting locator mat-row mat-radio-button at index 0
2026-01-28 17:00:20,826 | BASE_ELEMENT | INFO | Clicking button Select card
2026-01-28 17:00:21,351 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-01-28 17:00:21,351 | BUTTON | INFO | Checking button Continue to checkout is enabled
2026-01-28 17:00:21,355 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Proceed to review"] at index 0
2026-01-28 17:00:21,355 | BASE_ELEMENT | INFO | Clicking button Continue to checkout
2026-01-28 17:00:21,927 | BASE_ELEMENT | INFO | Getting locator div.mdc-card tr at index 1
2026-01-28 17:00:21,927 | BASE_ELEMENT | INFO | Checking that text Order summary data contains text 0.0
2026-01-28 17:00:21,933 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/BasketItems/10
2026-01-28 17:00:21,954 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/BasketItems/10
2026-01-28 17:00:21,954 | BASE_PAGE | INFO | Reloading page with url http://127.0.0.1:3000/#/order-summary
2026-01-28 17:00:22,708 | HTTP_CLIENT | INFO | Make DELETE request to http://127.0.0.1:3000/api/Addresss/7
2026-01-28 17:00:22,715 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/api/Addresss/7
